BatchID,THC,CBD,BMyrcene,BCaryophyllene,DLimonene,APinene,BPinene,AHumulene,terpinolene,Camphene,ATerpinene,GTerpinene,ATerpineol,d3Carene,Fenchol,Fenchone,APhellandrene,linalool,Ocimene,CaryophylleneOxide,cisNerolidol,Eucalyptol,Geraniol,Guaiol,Isopulegol,pCymene,transNerolidol,ABisabolol
678,720.41165,2.74501,19.25,1.17,5.92,1.02,1.25,0,1.24,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0
679,725.65611,42.63974,14.11,1.3,6.16,0.8,1,0,2.63,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0
680,747.34432,1.86801,15.02,0.93,5.46,0.93,1.24,0,4.17,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0
681,727.53289,2.93795,24.91,1.43,7.53,1.37,1.76,0,1.63,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0
682,707.73023,17.12781,20.57,1.86,9.94,2.13,2.47,0,5.08,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0
683,732.79489,20.53934,40.83,2.27,10.21,2.04,2.28,0,2.04,0,0,0,0,0,0,0,0,0.84,1.67,0,0,0,0,0,0,0,0,0
684,740.8896,16.06664,26.6,4.03,8.3,0,1.01,0.95,0.75,0,0,0,0,0,0,0,0,2.35,2.34,0,0,0,0,0,0,0,0,0
685,710.84358,11.38346,15.35,2.02,3.13,1.02,1.75,0,23.55,0,0.69,0,0,1.3,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0
686,773.52277,1.71892,28.44,1.48,14.06,1.1,1.81,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0
687,807.92413,1.78,5.86,16.8,6.15,0,0,4.33,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0.76,0,0,2.85,1.34
688,260.12767,0.38588,0.92,2.47,1.5,0.36,0.51,0.7,2.77,0.05,0.1,0,0.23,0.1,0.2,0,0.17,0.59,0,0,0,0,0,0,0,0,0,0
689,183.35644,0.28,0.23,3.39,3.38,0.4,0.61,0.93,0.13,0.12,0,0,0.54,0,0.7,0,0,3.31,0,0,0,0,0,0,0,0,0,0
690,289.36545,0.51,1.44,3.42,3.13,0.42,0.61,0.95,0.11,0.14,0,0,0.43,0,0.58,0,0,2.26,0,0,0,0,0,0,0,0,0,0
691,313.25218,0.56,1.66,2.53,0,0.51,0.7,0.6,6.15,0,0.2,0,0.27,0.23,0.16,0,0,0.64,0,0,0,0,0,0,0,0,0,0
692,368.7647,1.5,10.92,4.59,3.1,0.31,0.69,1.03,0,0,0,0,0.18,0,0.25,0,0,0.92,0,0,0.22,0,0,0.72,0,0,0.94,0.46
693,293.71021,0.57,11.46,2.51,0.75,0.14,0.26,0.84,0,0,0,0,0.05,0,0.06,0,0,1.24,0,0,0,0,0,0,0,0,0,0
694,229.6,9.7,0.12,5.33,1.99,0.17,0.3,1.49,0,0,0,0,0.15,0,0.16,0,0,1.11,0,0.13,0.33,0,0,0,0,0,0.67,0.5
695,219.91,0.42,4.98,1.72,0.72,3.79,1.29,0.57,0.56,0.09,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
696,250.9517,0.35,5.09,3.83,1.63,2.49,1.08,1.29,0.06,0.09,0,0,0.27,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0
697,243.14886,0.35,0.81,3.8,3.47,0.71,0.59,1.07,0.15,0.13,0,0,0.66,0,0.66,0.05,0,0,0,0,0,0,0,0,0,0,0,0
698,302.95451,0.67,1.51,2.76,1.44,0.54,0.57,0.79,6.31,0.06,0.28,0,0.35,0.22,0.19,0,0.55,0,0,0,0,0,0,0,0,0,0,0
699,319.16369,0.55,1.48,3.63,5.36,0.61,0.77,1.17,0.19,0.18,0,0,0.67,0,0.82,0.08,0,0,0,0,0,0,0,0,0,0,0,0
700,259.02901,0.48,2.03,7.69,3.97,0.41,0.51,2.61,0.56,0.12,0.05,0,0.43,0,0.49,0.07,0,0,0,0,0,0,0,0,0,0,0,0
701,280.95217,0.54,1.58,2.13,5.21,0.59,0.74,0.58,0.13,0.17,0,0,0.38,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
702,247.81583,0.41,0.24,3.26,2.91,0.32,0.43,1.16,0.16,0.11,0,0,0.71,0,0.78,0.01,0,0,0,0,0,0,0,0,0,0,0,0
703,245.11337,0.44,0.64,3.3,2.91,0.31,0.42,1.23,0.09,0.1,0,0,0.34,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0
704,311.4802,0.46,2.62,2.04,4.49,0.6,0.79,0.63,0.54,0.17,0.05,0,0.43,0,0.53,0.13,0,0,0,0,0,0,0,0,0,0,0,0
705,281.86652,1.16,1.82,0,1.85,0.22,0.33,0.46,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,203.99268,0.5,2.1,1.75,2.73,0.54,0.2,0.64,0.06,0.17,0,0,0.25,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,192.18889,0.28,0.27,5.25,0.72,0.1,0.13,1.85,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,258.6326,0.4,3.54,2.93,2.76,0.7,0.54,0.97,0.08,0.11,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,265.662,0.5,1.3,2.77,4.79,0.43,0.53,0.81,0.12,0.13,0,0,0.27,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
710,250.1315,0.6,8.13,3.16,0.72,0.12,0.13,0.09,0.04,0.05,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,292.8711,0.7,6.87,3.31,3.65,0.46,0.63,1,0.11,0.14,0.04,0,0.26,0,0,0.06,1.86,0,0,0,0,0,0,0,0,0,0,0
712,251.99356,1.78272,1.69,2.04,1.13,0.95,1.14,0.62,6.15,0.09,0.19,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,275.9695,2.0909,0.54,2.58,5.78,2.22,1.33,0.69,0.11,0.26,0,0,0.62,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
714,299.89886,0.56,6.23,2.58,4.16,0.47,0.86,0.74,0.06,0.14,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0.42,0.4
715,315.34777,0.71,3.94,1.91,3.35,0.38,0.69,0.48,0,0.12,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0.36,0.29
716,302.27303,0.7,4.04,2.19,5.19,0.49,0.89,0.55,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0.34,0
717,295.39633,0.44,4.8,2.01,3.44,0.43,0.75,0.5,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.62,0
718,315.63527,0.6,5.16,2.92,4.87,0.61,1.04,0.85,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.45,0.39
719,330.31603,0.63,4.15,2.68,3.49,0.39,0.68,0.7,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.71,0.3
720,303.97084,0.63,5.46,2.62,3.71,0.5,1.01,0.8,0,0.2,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0.49,0.6
721,331.49671,0.75,3.72,3.3,9.57,0.82,1.48,0.77,0,0.26,0,0,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0.4,0
722,264.77184,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,237.02976,0.48,9.31,3.01,1.13,1.61,0.96,0.63,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0.15,0.25
724,300.84259,0.56,5.41,1.99,0.79,1.17,0.71,0.42,0,0.05,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0.13,0.23
725,275.17153,0.31,10.52,2.4,1.61,1.87,1.06,0.5,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0.26
726,248.71655,1.05,3.54,1.19,0.59,0.94,0.55,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
727,318.70765,0.82,9.62,3.44,1.31,1.91,1.34,1.01,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0.47,0.7
728,338.78075,0.51,7.48,1.39,3.9,0.38,0.74,0.33,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0.52,0
729,356.96513,0.57,7.55,1.69,3.53,0.53,0.79,0.56,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0.96,0.36
730,347.48996,0.66,3.25,0.74,1.53,0.25,0.37,0.52,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0.5,0
731,236.73631,0.34,6,1.71,4.23,0.51,0.99,0.41,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0.98,0
732,267.02876,0.51,1.44,1.84,0.34,0.45,0.66,0.5,5.96,0,0,0,0,0.45,0,0,0,0,1.36,0,0,0,0,0,0,0,0.43,0
733,260.82747,0.45,4.65,1.44,0.55,2.7,1.29,0.43,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.39,0
734,270.57605,0.52,1.96,0.73,0.25,1.49,0.71,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0
735,211.42508,0.29,3.62,1.19,0.63,2.2,1.06,0.37,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.32,0
736,263.7246,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,229.05183,0.6,3.57,1.88,2.57,0.31,0.51,0.41,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0.83,0.3
738,243.22024,0.78,19.28,6.22,1.56,1.88,0.94,1.48,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0.62,0.48
739,249.89569,0.49,8.73,4.05,0.91,0.98,0.47,0.9,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.44,0.5
740,256.83174,0.11,7.5,11.35,4.17,0,0.79,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,1.09
741,252.11152,0.74,2.94,5.79,2.55,0.27,0.48,1.96,0,0.1,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.61,0.29
742,243.65141,0.44,2.52,7.74,3.05,0.27,0.43,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.38
743,243.57301,0.67,6.08,1.23,1.74,0.61,0,0.33,0.01,0.08,0,0.01,0,0,0,0,0,0.53,0.37,0.06,0,0.03,0,0,0.01,0,0.12,0.01
744,289.09592,0.55,1.82,8.18,2.2,0.26,0.36,2.81,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0.35,0.3
745,339.72543,0.66,9.88,1.57,3.93,0.6,0,0.42,0.1,0.14,0,0,0,0,0,0,0,1.71,0.03,0.04,0,0,0.02,0,0,0,0.21,0.02
746,294.50148,0.31,1.32,2.63,3.85,0.45,0.77,0.67,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,1.01,0
747,301.88793,0.58,1.83,3.45,4.5,0.53,0.95,0.83,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,1.14,0
748,264.40318,0.19,2.34,3.4,5.36,0.47,0.85,0.77,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0.63,0
749,249.50503,1.31,5.76,2.86,1.97,6.72,2.97,1.22,0,0.17,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.83,0.67
750,225.0746,0,6.93,3.4,2.14,9.16,3.99,1.34,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,1.12,1.03
751,186.29421,0.12,7.13,2.48,1.59,1.47,0.84,0.97,0,0.08,0,0,0,0,0,0,0,1.11,2.94,0,0,0,0,0,0,0,0.62,0.39
752,297.25104,0.56,4.8,3.67,1.67,0,0.25,1.11,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.43,0.27
753,256.46162,0.82,0.89,4.11,2.13,0,0.31,0.99,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0.85,0.36
754,183.12715,0.33,4.15,5.26,1.08,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0
755,181.02314,0.27,9.98,2.3,2.85,4.2,2.5,1.03,0,0.46,0,0,0,0,0,0,0,1.36,0.86,0,0,0,0,0,0,0,0.61,0.7
756,232.45897,0.54,1.16,3.35,2.01,0,0.32,0.91,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0.63,0.3
757,294.36189,0.23,0.39,4.81,1.28,0.13,0.19,1.17,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0.75,0.44
758,266.53612,0.45,3.92,3.24,2,0.21,0.36,0.88,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0.63,0.68
759,289.07206,0.25,1.95,6.81,3.2,0.31,0.49,1.89,0,0.1,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0.47,0.36
760,361.67104,0.7,3.21,7.66,3.63,0.37,0.67,2.08,0.06,0.1,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.41,0.57
761,190.57554,0.06,2.97,8.67,4.1,0.35,0.62,2.22,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0.47,0.39
762,86.04704,107.04566,2.7,7.51,3.98,0.39,0.65,1.95,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0.78,0.34
763,81.44008,105.57704,1.88,6.14,1.92,0,0.29,1.43,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0.32,0.53
764,79.22656,87.3686,6.94,1.41,0.63,0,1.62,0.27,0,0,0,0,0,0,0,0,0,0.31,0.04,0,0,0.3,0,0,0,0,0.39,0
765,225.66329,0.32,1.54,0.29,0,0.46,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0
766,264.46881,0.54,5.36,1.01,0.78,1.34,0.62,0.24,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0.2,0
767,267.01185,0,3.37,1.51,4.35,0.94,1.04,0.41,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0.32,0.35
768,281.85645,0.44,2.74,3.85,5.53,0.76,0.92,1.32,0,0,0,0,0,0,0,0,0,0.47,0.2,0,0,0,0,0,0,0,0,0
769,281.20646,0.54,3.59,5.2,4.28,0.57,0.69,1.99,0,0,0,0,0,0,0,0,0,0.44,0.19,0,0,0,0,0,0,0,0,0.28
770,268.05822,0.6,3.48,3,5.58,0.92,1.04,1.02,0,0,0,0,0,0,0,0,0,0.73,0.36,0,0,0,0,0,0,0,0,0
771,172.31495,0.05,3.18,3.72,3.93,0.62,0.87,1.31,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.23
772,249.99644,0.01,3.99,7,5.47,0.89,1.14,2.83,0.06,0.14,0,0,0,0,0,0,0,0.88,0.41,0,0,0,0,0,0,0,0.07,0.43
773,263.63412,0.51,0.68,0,0.57,2.59,1.69,0,8.07,0,0.27,0,0,0.61,0,0,0,0.23,0.63,0,0,0,0,0.42,0,0,0,0
774,257.20476,0.6,1.39,5.34,1.94,0,0.28,1.74,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0.24,0
775,248.71089,0.56,8.46,1.33,0.94,1.6,0.58,0.39,0,0,0,0,0,0,0,0,0,0.29,0.56,0,0,0,0,0,0,0,0.22,0
776,285.76403,0.6,7.06,1.21,0.79,1.6,0.63,0.28,0,0,0,0,0,0,0,0,0,0.32,0.37,0,0,0,0,0,0,0,0.37,0
777,274.7567,0.92,7.33,0.93,0.79,1.46,0.59,0,0,0,0,0,0,0,0,0,0,0.3,0.36,0,0,0,0,0,0,0,0.27,0
778,272.53317,0.2,4.25,0.95,1.35,1.78,1.02,0.31,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0.27,0
779,67.00298,119.78438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,218.93013,0.37,6.54,1.09,2.37,3.49,1.74,0.33,0,0,0,0,0,0,0,0,0,0.61,0.22,0,0,0,0,0,0,0,0.16,0
